Borough,Charging point,ev,
Barking and Dagenham,39,223 ,
Barnet,94,1662 ,
Bexley,0,430 ,
Brent,115,804 ,
Bromley,36,811 ,
Camden,139,1034 ,
City of London,50,0 ,
Croydon,13,391 ,
Ealing,74,1429 ,
Enfield,10,581 ,
Greenwich,54,440 ,
Hackney,99,393 ,
Hammersmith and Fulham,216,706 ,
Haringey,42,578 ,
Harrow,7,679 ,
Havering,0,428 ,
Hillingdon,10,1120 ,
Hounslow,130,753 ,
Islington,152,742 ,
Kensington and Chelsea,103,1014 ,
Kingston upon Thames,13,449 ,
Lambeth,140,584 ,
Lewisham,10,358 ,
Merton,101,1067 ,
Newham,26,309 ,
Redbridge,10,563 ,
Richmond upon Thames,265,779 ,
Southwark,108,626 ,
Sutton,13,391 ,
Tower Hamlets,37,465 ,
Waltham Forest,48,361 ,
Wandsworth,386,909 ,
Westminster,97,1954 ,